Дата,Эффективное энергопотребление,Ожидаемое энергопотребление,Разница в энергопотреблении (эффективная-ожидаемая),Интервал прогноза низкий,Интервал прогноза высокий,Набор данных обучения или прогнозирования,Эффективное скользящее среднее энергопотребления,Интервал прогноза - низкое скользящее среднее,Интервал прогноза с высоким скользящим средним
2013-11-18,4261526.0275,4282220.25729799,-20694.2297979947,4061530.57400424,4505077.3940828,t,,,
2013-11-25,4395658.9875,4335216.26459475,60442.722905254,4104040.24177218,4573139.02951819,t,,,
2013-11-28,4517716.5675,4452346.73981534,65369.8276846558,4225503.86492154,4669268.30049885,t,,,
2013-11-29,4432467.865,4359207.64222787,73260.2227721261,4141453.30451166,4570753.61755354,t,,,
2013-12-02,4400252.7375,4307069.361187,93183.3763130037,4093304.23471585,4529298.66869452,t,,,
2013-12-03,4443604.595,4370253.70460432,73350.8903956814,4157542.48280061,4592054.08144914,t,,,
2013-12-07,3781499.3775,3798043.58829453,-16544.2107945289,3584237.17877394,4024988.43163023,t,,,
2013-12-08,3429010.1775,3513626.39030542,-84616.212805416,3280327.4053386,3720696.76788919,t,,,
2013-12-11,4510075.07,4371831.57409697,138243.495903026,4158656.00632696,4594351.42149773,t,,,
2013-12-15,3535622.8475,3508453.69205436,27169.1554456372,3285698.96218022,3714750.22678761,t,,,
2013-12-18,4475381.7275,4380997.80027775,94383.92722225,4158086.1222957,4584266.68056214,t,,,
2013-12-21,3665615.6575,3521245.88408444,144369.773415558,3309370.93794528,3738839.53059127,t,,,
2013-12-23,3981891.1775,3988031.66902158,-6140.49152158294,3773610.50095885,4213174.76944403,t,,,
2013-12-24,3679798.38,3778714.45918569,-98916.0791856893,3546678.28029964,4013488.36959527,t,,,
2013-12-30,3808116.84,4018901.22735078,-210784.387350785,3798322.23517254,4243223.47427116,t,,,
2013-12-31,3625476.0025,3800111.77903855,-174635.776538549,3587787.42963977,4019478.87510042,t,,,
2014-01-03,3942574.0325,4038653.76123054,-96079.7287305403,3800637.52163072,4256571.23632174,t,,,
2014-01-06,4186778.8325,4276423.85374185,-89645.0212418451,4042012.11302824,4496016.11523715,t,,,
2014-01-07,4253843.185,4320538.1428291,-66694.9578291001,4120094.82308371,4538594.96547239,t,,,
2014-01-10,4311735.0025,4312092.59120315,-357.588703155518,4100504.98971771,4538970.36281933,t,,,
2014-01-15,4320588.27,4348622.7163438,-28034.4463437991,4123361.79906662,4568344.79356411,t,,,
2014-01-21,4496951.3925,4361602.64879865,135348.743701353,4146698.33615563,4583423.96395873,t,,,
2014-01-26,3334136.0975,3461951.62861527,-127815.531115272,3238284.19514156,3680462.69931966,t,,,
2014-01-27,4262932.96,4269437.64107716,-6504.68107716367,4037081.04946722,4494748.55626551,t,,,
2014-02-01,3648466.555,3775432.9998141,-126966.444814105,3561835.50681153,3997320.85380973,t,,,
2014-02-02,3311843.18,3484261.1985295,-172418.018529497,3262107.85390665,3712999.47884302,t,,,
2014-02-04,4349881.3375,4351377.57154374,-1496.23404373508,4119108.84488947,4585822.25263047,t,,,
2014-02-10,4259932.2425,4275248.07559538,-15315.8330953829,4052796.82892811,4501132.37524298,t,,,
2014-02-14,4332438.0875,4284255.92896522,48182.1585347764,4057325.58306629,4512657.29481494,t,,,
2014-02-20,4254279.81499998,4248649.09776158,5630.71723840013,4020992.8646419,4482767.2235782,t,,,
2014-02-21,4289805.22750003,4279694.54415438,10110.6833456485,4048464.82580344,4487034.62204499,t,,,
2014-02-22,3659990.02749999,3748334.18907225,-88344.1615722566,3503767.23170228,3962375.94464508,t,,,
